Vote date,Male,Female,Format,Bottom,Competition,Outright
14,Hugo,Sharon,Most compatible couples,3,Couples,0
14,Toby,Chloe,Most compatible couples,3,Couples,0
14,Brad,Lucinda,Most compatible couples,3,Couples,1
21,AJ,-,Most popular islanders,6,Islanders,0
21,Danny,-,Most popular islanders,6,Islanders,0
21,Teddy,-,Most popular islanders,6,Islanders,0
21,Toby,-,Most popular islanders,6,Islanders,0
21,-,Chloe,Most popular islanders,6,Islanders,0
21,-,Lucinda,Most popular islanders,6,Islanders,0
27,Aaron,Lucinda,Favourite couple,2,Couples,1
27,Teddy,Faye,Favourite couple,2,Couples,0
37,Hugo,Amy,Most popular couple,3,Couples,0
37,Tyler,Clarisse,Most popular couple,3,Couples,0
37,Sam,Mary,Most popular couple,3,Couples,0
40,Dale,-,Most popular islanders,3,Males,0
40,Jake,-,Most popular islanders,3,Males,0
40,Tyler,-,Most popular islanders,3,Males,0
40,-,Abigail,Most popular islanders,3,Females,0
40,-,Kaz,Most popular islanders,3,Females,0
40,-,Mary,Most popular islanders,3,Females,0
51,Aaron S,Mary,Most popular couple,1,Couples,1
58,Tyler,Kaz,Fourth place,1,Couples,1
58,Teddy,Faye,Third place,1,Couples,1
58,Toby,Chloe,Second place,1,Couples,1
