Contestant,Title,Gender,Age,Entered,Exited,First_ep,Last_ep,grepl_code
Afia Tonkmor,Afia,Female,25,08/06/2022,13/06/2022,3,8,afia
Amber Beckford,Amber,Female,24,06/06/2022,20/06/2022,1,15,amber
Andrew le Page,Andrew,Male,27,06/06/2022,-,1,-,andrew
Dami Hope,Dami,Male,26,06/06/2022,-,1,-,dami
Davide Sanclimenti,Davide,Male,27,06/06/2022,-,1,-,david|ekinde|ekin-de|dekin
Ekin-Su Culculoglu,Ekin-Su,Female,27,08/06/2022,-,3,-,ekin
Gemma Owen,Gemma,Female,19,06/06/2022,-,1,-,gemma
Ikenna Ekwonna,Ikenna,Male,23,06/06/2022,20/06/2022,1,15,ikenna
Indiyah Polack,Indiyah,Female,23,06/06/2022,-,1,-,indiyah|damiyah
Liam Llewellyn,Liam,Male,22,06/06/2022,10/06/2022,1,5,liam
Luca Bish,Luca,Male,23,06/06/2022,-,1,-,luca
Paige Thorne,Paige,Female,24,06/06/2022,-,1,-,paige
Tasha Ghouri,Tasha,Female,23,06/06/2022,-,1,-,tash
Jacques O'Neill,Jacques,Male,23,12/06/2022,12/07/2022,7,37,jacques|jax|jacks|jaques
Jay Younger,Jay,Male,28,14/06/2022,10/07/2022,9,35,jay
Remi Lambert,Remi,Male,22,14/06/2022,17/06/2022,9,12,remi
Danica Taylor,Danica,Female,21,17/06/2022,-,12,-,danica
Antigoni Buxton,Antigoni,Female,26,22/06/2022,30/06/2022,17,25,antig
Charlie Radnedge,Charlie,Male,28,22/06/2022,30/06/2022,17,25,charlie
Billy Brown,Billy,Male,23,01/07/2022,18/07/2022,26,44,billy
Deji Adeniyi,Deji,Male,22,01/07/2022,24/07/2022,26,49,deji
Josh le Grove,Josh,Male,22,01/07/2022,15/07/2022,26,40,josh
Chyna Mills,Chyna,Female,23,02/07/2022,10/07/2022,27,35,chyna|china
Coco Lodge,Coco,Female,27,02/07/2022,15/07/2022,27,40,coco
Summer Botwe,Summer,Female,22,02/07/2022,18/07/2022,27,44,summer
Adam Collard,Adam,Male,26,11/07/2022,,36,-,adam|collard
Jamie Allen,Jamie,Male,27,20/07/2022,-,45,-,jamie
Lacey Edwards,Lacey,Female,25,20/07/2022,24/07/2022,45,49,lacey|lacy|lacie
Nathalia Campos,Nathalia,Female,23,20/07/2022,24/07/2022,45,49,natalia|nathalia
Reece Ford,Reece,Male,23,20/07/2022,24/07/2022,45,49,reece
